POS,NAME,TEAM,RATING,CAREER BEST RATING,DATE
59,Calum MacLeod,SCO,500,"585 v England, 10/06/2018",1979-04-19
60,Hashmatullah Shaidi,AFG,498,"519 v India, 22/06/2019",1979-04-19
61,Marnus Labuschagne,AUS,498,"532 v India, 29/11/2020",1979-04-19
62,Jimmy Neesham,NZ,495,"549 v Pakistan, 26/06/2019",1979-04-19
63,Niroshan Dickwella,SL,495,"518 v Bangladesh, 28/05/2021",1979-04-19
64,Mohammad Nabi,AFG,494,"545 v Bangladesh, 28/09/2016",1979-04-19
65,Mitchell Marsh,AUS,489,"641 v New Zealand, 06/12/2016",1979-04-19
66,Richard Berrington,SCO,487,"491 v Oman, 28/09/2021",1979-04-19
67,Kariyawasa Asalanka,SL,484,"484 v South Africa, 07/09/2021",1979-04-19
68,William Porterfield,IRE,484,"539 v UAE, 12/03/2018",1979-04-19
69,Asghar Afghan,AFG,479,"483 v West Indies, 11/11/2019",1979-04-19
70,Harry Tector,IRE,477,"477 v Zimbabwe, 13/09/2021",1979-04-19
71,Assad Vala,PNG,476,"476 v Oman, 01/10/2021",1979-04-19
72,Craig Ervine,ZIM,476,"524 v Afghanistan, 18/10/2015",1979-04-19
73,Aiden Markram,SA,476,"485 v Sri Lanka, 04/09/2021",1979-04-19
74,Heinrich Klaasen,SA,474,"499 v Australia, 07/03/2020",1979-04-19
75,Dhananjaya de Silva,SL,473,"482 v England, 01/07/2021",1979-04-19
76,Shreyas Iyer,IND,472,"513 v New Zealand, 11/02/2020",1979-04-19
77,Muhammad Usman,UAE,471,"478 v Ireland, 08/01/2021",1979-04-19
78,George Munsey,SCO,464,"464 v Oman, 02/10/2021",1979-04-19
79,Mitchell Santner,NZ,460,"502 v England, 10/03/2018",1979-04-19
80,Temba Bavuma,SA,460,"467 v Sri Lanka, 02/09/2021",1979-04-19
81,Jason Holder,WI,446,"455 v Australia, 22/07/2021",1979-04-19
82,Andile Phehlukwayo,SA,440,"450 v Pakistan, 07/04/2021",1979-04-19
83,Ravindra Jadeja,IND,434,"552 v West Indies, 08/10/2014",1979-04-19
84,Mithun Ali,BAN,433,"452 v New Zealand, 23/03/2021",1979-04-19
85,Rashid Khan,AFG,432,"477 v Ireland, 10/03/2019",1979-04-19
86,Lahiru Thirimanne,SL,429,"599 v West Indies, 04/11/2015",1979-04-19
87,Rishabh Pant,IND,426,"432 v England, 28/03/2021",1979-04-19
88,Dasun Shanaka,SL,424,"424 v South Africa, 07/09/2021",1979-04-19
89,Matthew Wade,AUS,424,"553 v Pakistan, 15/01/2017",1979-04-19
90,Rovman Powell,WI,419,"456 v India, 24/10/2018",1979-04-19
91,Kieron Pollard,WI,416,"602 v Zimbabwe, 24/02/2013",1979-04-19
92,Gulbadin Naib,AFG,415,"440 v Ireland, 28/02/2018",1979-04-19
93,Mohammad Rizwan,PAK,414,"426 v Australia, 29/03/2019",1979-04-19
94,Curtis Campher,IRE,412,"418 v South Africa, 16/07/2021",1979-04-19
95,Dinesh Chandimal,SL,409,"667 v Australia, 02/03/2012",1979-04-19
96,Zeeshan Maqsood,OMA,407,"407 v Namibia, 27/11/2021",1979-04-19
97,Max O'Dowd,NED,406,"406 v South Africa, 26/11/2021",1979-04-19
98,Matthew Cross,SCO,405,"427 v Oman, 18/08/2019",1979-04-19
99,Moeen Ali,ENG,404,"522 v West Indies, 27/09/2017",1979-04-19
100,Chris Woakes,ENG,403,"481 v Australia, 26/01/2018",1979-04-19
